Company                       Product                       Description
GlobalFoundries Inc.          45CLO                         A silicon-on-insulator process capable of covering the O, C, and L optical bands and integrating active components such as drivers, TIAs, and optical modulators on a single die.
GlobalFoundries Inc.          90WG                          A silicon photonics foundry process technology used in datacenter interconnects, remote radio heads and telecom applications, offering low loss with wavelengths at 1310nm and 1550nm.
GoPro                         Karma Drone                   A drone product mentioned as being outclassed by DJI’s rapidly iterated drones.
GoPro                         Hero5                         A drone product referenced in contrast to DJI’s offering, highlighting iteration speed and market competition.
Google                        Gemini Flash 2.0 Thinking     Google’s reasoning model, noted for its large context length and lower cost, released prior to the hype around DeepSeek R1.
Google                        PaLM model                    A full-size language model that requires significant hardware resources including TPUs and CPUs to run.
Google                        TPUv5e                        A variant of Google’s TPUv5 for enhanced AI performance and scalability.
Google                        PaLM Model                    A 540-billion parameter neural network model that exemplifies large-scale transfer learning and efficient sampling in AI research.
Google                        Argos VPU                     A video processing unit designed to accelerate specialized computing workloads in data centers.
Google                        YouTube                       A video streaming service that offers a 70/30 revenue split to creators while delivering higher quality streams (up to 4K) compared to Twitch.
Google                        TPUv5                         An AI chip designed for both internal AI training/inference and external customer usage.
Google                        Gemini 2 Ultra                A rumored model expected to surpass GPT-4 Turbo based on performance benchmarks.
Google                        TPUv4                         A tensor processing unit used for AI acceleration, supplied to customers in high-volume designs.
Google                        Google Gemini 1.5             An AI model noted for its performance and cost efficiency in serving inference workloads, particularly in long sequence tasks.
Google                        GeminiAI                      An AI model used to power robotics, as demonstrated by its integration in Apptronik’s humanoid robots.
Google                        Axion                         Google's Arm-based server CPU initiative mentioned as part of the competitive landscape.
Google                        Gemini Ultra                  A large AI model by Google mentioned in the context of compute scaling comparisons.
Google                        Google Gemini Pro             A language model competitor to GPT-3.5 offered as part of Google’s suite of AI products.
Google                        Google Bard                   A search product that leverages a lightweight version of LaMDA, offering rapid response times and improved latency for enhanced search experiences.
Google                        Google TPU                    An AI accelerator designed to support massive training deployments and specialized for large-scale AI workloads.
Google                        Google Assistant              A voice assistant which, with the help of large language models, can provide improved personal assistance.
Google                        TPU                           An AI accelerator product line mentioned in context with Broadcom, serving as a point of comparison for advanced chip designs.
Google                        Pixel 6                       A smartphone on which foundation models are demonstrated to run at 5 tokens per second.
Google LLC                    Gemini                        A project aimed at eliminating the traditional spine layer in datacenter networks to reduce power consumption and capital expenditure associated with electronic packet switches.
Google LLC                    PaLM                          Google’s Pathways Language Model, a state-of-the-art dense transformer.
Google LLC                    Google Argos VPU              A video encoding chip deployed at scale by Google that handles VP9 encoding, replacing the workload of over 10 million Intel CPUs and significantly reducing costs.
Google LLC                    Gemini 2                      An upcoming AI model expected to improve performance and competitiveness in large-scale training.
Google LLC                    Palomar                       Google’s internally developed optical circuit switch (OCS) system featuring the Palomar MEMS mirror package, which directs optical signals through mirrors for low latency and power savings.
Google LLC                    Google TPU                    An AI accelerator chip used internally by Google, noted for its performance and cost-efficiency for AI workloads.
Google LLC                    Google TPUv5                  A next-generation tensor processing unit designed for high-performance AI inferencing and training.
Google LLC                    Pathways                      An internally developed training system that emphasizes fault tolerance and integration with Google’s vertically built infrastructure.
Google LLC                    Bard                          A conversational AI interface that initially uses a lightweight version of the LaMDA model to scale user interactions.
Google LLC                    MEENA                         A large language model released by Google prior to the Covid pandemic; it had higher model capacity than GPT-2 and was central to early comparisons with OpenAI's models.
Google LLC                    Jax                           A machine learning framework developed by Google that competes with TensorFlow and is used in some of its generative AI models.
Google LLC                    Jupiter                       Google’s custom all-encompassing networking stack that integrates in-house switches with reconfigurable software. It has been deployed for over five years across most of Google’s datacenters to enable higher performance and cost savings.
Google LLC                    Gemini 1 Ultra                A leading frontier AI model that was trained across multiple datacenters.
Google LLC                    LaMDA                         A transformer model focused on conversational applications.
Google LLC                    TensorFlow                    An early dominant machine learning framework that eventually lost favor among researchers compared to PyTorch.
Google LLC                    Argos VCU                     A custom ASIC (Video Coding Unit) designed to accelerate video encoding workloads across Google’s services by replacing traditional CPU-based encoding, offering support for H.264, VP9, and future AV1 formats.
Google LLC                    TPUv4i (TPUv4 lite)           The predecessor inference chip to TPUv5e, used primarily in internal workloads.
Google LLC                    TPUv5e (TPUv5 lite)           Google’s latest AI chip that offers a significant performance and total cost of ownership advantage for training and inference of models up to 200 billion parameters.
Google LLC                    TPUv5 (Viperfish)             A higher-end member of Google’s TPU family, distinguished from the efficient TPUv5e.
Google LLC                    Project Apollo                An initiative to replace the traditional Clos architecture’s electronic packet switches with an optical circuit switching solution, thereby reducing latency and power usage while allowing for future data rate upgrades.
Graphcore                     Graphcore Bow IPU             An AI processor that uses wafer on wafer hybrid bonding to increase clock speeds by approximately 40% without additional power consumption.
Graphcore                     Graphcore IPU BOW             An advanced packaging product that features active silicon stacking with TSMC’s SoIC WoW technology.
Graphcore                     Good Computer                 A system-level solution comprising multiple servers and racks that leverages Graphcore’s accelerator technology and popular SDK for scaling AI training workloads.
Graphcore                     IPU                           A processor designed for AI workloads, noted in the article as having challenges in performance scaling and software support.
Graphcore                     Graphcore IPU                 An AI accelerator product offering direct links for inter-node communications to scale to hundreds or thousands of accelerators.
Graphcore                     BOW                           An AI acceleration chip referenced under the advanced computing integrated circuit controls.
Graphcore                     Bow                           Graphcore's newest AI accelerator that employs 3D wafer-on-wafer stacking and hybrid bonding to achieve up to 40% higher clock speeds and improved performance with full software compatibility.
Graphcore                     Bow IPU                       A wafer-on-wafer hybrid bonded processor designed for high-performance computing applications.
Habana                        Habana Gaudi                  An AI accelerator product aimed at improving inter-node communications and scaling across many accelerators.
Huawei Technologies Co., Ltd. Huawei Ascend 910B            A new GPU built on SMIC's 7nm process that positions its performance between Nvidia’s A100 and H100, and is being purchased by multiple Chinese hyperscalers.
Huawei Technologies Co., Ltd. Ascend 910                    Huawei’s earlier AI accelerator chip whose successor is being developed on a 7nm process using chiplets and HBM.
Huawei Technologies Co., Ltd. Kirin 710A                    A 14nm based mobile SOC produced as a contingency solution at SMIC’s Chinese logic foundry, intended to replace the internally designed Kirin chips affected by US restrictions.
Huawei Technologies Co., Ltd. Kirin 9000S                   A flagship system-on-chip featuring a custom Armv9 core, a proprietary GPU architecture, and integrated RF modem technology produced on SMIC’s N+2 7nm process.
Huawei Technologies Co., Ltd. Ascend 910C                   An AI accelerator chip used in the CloudMatrix 384 system, noted for its role in boosting system-level performance despite not matching the per chip performance of competitors like Nvidia Blackwell.
Huawei Technologies Co., Ltd. CloudMatrix 384               A rack scale AI system composed of 384 Ascend 910C chips connected in an all-to-all topology, delivering 300 PFLOPs of dense BF16 compute and enhanced aggregate memory capacity and bandwidth.
Huawei Technologies Co., Ltd. Ascend 910B                   A variant of Huawei’s Ascend chip series mentioned in the context of comparative production volumes alongside the 910C.
Huawei Technologies Co., Ltd. Ascend 910B AI accelerator    An AI accelerator chip designed for high-performance computing applications in artificial intelligence.
IMS Nanofabrication           Multi-beam mask writer        A precision tool used to create photomask sets for semiconductor manufacturing, especially required for process nodes beyond 7nm.
Illumina, Inc.                NovaSeq X                     A sequencing instrument that has significantly reduced the cost of whole genome sequencing, driving exponential growth in genomics data.
Inflection                    Inflection-2                  A language model aiming to compete with GPT-3.5 in benchmark performance.
Intel                         Granite Rapids                An upcoming Intel server CPU generation mentioned as part of the forecasted performance gap with AMD’s Genoa.
Intel                         Sapphire Rapids               The prior design of Intel’s Xeon Scalable processors employing four smaller dies with chiplet disaggregation, which has been rethought in the new Emerald Rapids design.
Intel                         Skylake                       An older Intel server CPU platform referenced in context of long deployment cycles.
Intel                         Ice Lake server chips         Server processors that experienced a delayed ramp and were highlighted for volume increases despite margin pressures.
Intel                         Ice Lake SP                   An existing Intel x86 server CPU line referenced for revenue and unit comparisons.
Intel                         vPro                          A technology product suite aimed at enterprise security and management.
Intel                         Ice Lake                      An earlier Intel CPU architecture referenced when discussing performance gaps with AMD’s newer platforms.
Intel                         Sierra Forest                 An Intel server CPU generation mentioned in the context of future performance trends.
Intel                         Mobileye EyeQ SOCs            System-on-a-chip products used in autonomous vehicle applications, with lifetime shipment milestones announced.
Intel                         IPU                           Referenced as Intel’s latest IPU, this chip is part of Intel’s product portfolio in the semiconductor space.
Intel                         Meteor Lake                   Intel's high-volume product intended to utilize EUV lithography in its Intel 4 process node, which has been delayed until at least Week 52, 2023.
Intel                         Alder Lake                    A desktop and mobile CPU family that is part of Intel’s 10nm process ramp, contributing to shifts in average selling prices.
Intel                         Tiger Lake                    A line of laptop and mobile CPU products noted for its strong sales ramp and significant shipment milestones.
Intel                         Cascade Lake                  An older Intel server CPU platform compared against newer AMD solutions.
Intel                         6 x 12" Mask                  A large reticle mask format proposed to improve scanner throughput by enabling full‐field exposures and reducing stitching issues.
Intel                         Gaudi 3                       An upcoming AI chip with improved hardware performance, directly compared to Nvidia’s GPUs.
Intel                         Xeon                          Intel’s server CPU series, referenced in the article as having a performance deficit compared to AMD’s Genoa.
Intel                         Emerald Rapids                Intel’s 5th Generation Xeon Scalable processor redesign that features a reduction in chiplets, increased core counts and cache, upgraded DDR5 memory support, and other optimizations aimed at improving performance and efficiency compared to its predecessor.
Intel                         Intel Meteor Lake CPUs        A product that utilizes Intel’s Foveros packaging technology to stack active silicon on passive silicon.
Intel                         Gaudi HL-328 + HL-388         AI accelerators produced by Intel referenced in the new export restriction framework.
Intel                         Intel EMIB-T                  A new variant of Intel’s Embedded Multi-die Interconnect Bridge (EMIB) technology that incorporates TSVs for higher interconnect density in complex heterogeneous packages.
Intel Corporation             IPDK                          A public development kit that abstracts infrastructure processing unit hardware to enable efficient data plane tasks such as RDMA, storage acceleration and service mesh.
Intel Corporation             Co-packaged Silicon Photonics A networking solution that integrates optical input/output within semiconductor packages to overcome the limitations of copper-based interconnects.
Intel Corporation             Lunar Lake                    An upcoming client roadmap product featuring next-generation details and innovations, discussed during the event.
Intel Corporation             Intel 16                      Intel’s foundry process node (formerly referred to as 22nm FFL or Intel 16nm) planned to be the first major foundry process.
Intel Corporation             Sierra Forest                 Another datacenter product, shifted from a competitor node to Intel 3 and grouped with Granite Rapids under the Birch Stream platform for 2024.
Intel Corporation             IFS Packaging Units           Packaging service units that have recently been shipped for revenue generation.
Intel Corporation             Diamond Rapids                An upcoming datacenter CPU in Intel’s roadmap intended to boost competitiveness.
Intel Corporation             Tofino 3 Networking Switch    High-performance networking switches designed for handling large-scale AI training and advanced network functions.
Intel Corporation             Tofino 3                      An Intel networking product noted as the largest BGA package in the world.
Intel Corporation             Custom ASIC for Networking    A custom application-specific integrated circuit (ASIC) designed for networking functions, set to ramp on the Intel 4 node.
Intel Corporation             Intel Sierra Forest           An upcoming high core count CPU targeting datacenter applications by using a mix of E-cores to achieve up to 144 cores.
Intel Corporation             Intel Sapphire Rapids         A datacenter server CPU product from Intel.
Intel Corporation             Ice Lake                      An Intel chip noted for a slow production ramp and inefficiencies that affect overall capital utilization.
Intel Corporation             Intel NNP-I Inference AcceleratorAn inference accelerator that was previously used heavily for DLRM workloads before being replaced in part by GPUs and serving as a reference for the architecture of Meta’s MTIA.
Intel Corporation             Intel Habana Gaudi 2          Intel’s 2nd generation datacenter AI chip with limited adoption outside select cloud instances.
Intel Corporation             Intel Gaudi3/PVC              An AI accelerator optimized for training, representing Intel's efforts in high-performance datacenter solutions.
Intel Corporation             Intel Emerald Rapids CPU      A top-of-the-line CPU initially quoted in compute chassis configurations for AI clusters.
Intel Corporation             Intel 7                       A process node technology that is reported to be on or ahead of its planned timeline.
Intel Corporation             Intel 4                       A process node technology that is reported to be on or ahead of its planned timeline.
Intel Corporation             Intel 3                       A process node technology that is reported to be on or ahead of its planned timeline.
Intel Corporation             Intel 20A                     A process node technology that is reported to be on or ahead of its planned timeline.
Intel Corporation             Intel 18A                     A leading-edge process node technology that is reported to be on or ahead of its planned timeline.
Intel Corporation             networking switches           Products used for network communications whose development has been ended as part of the company's cost-cutting strategy.
Intel Corporation             Intel Ponte Vecchio           An Intel GPU product aimed at AI workloads, noted for its delayed delivery and uncompetitive performance relative to Nvidia’s offerings.
Intel Corporation             Clearwater Forest Test Chip   A test chip that has taped out using Intel’s 18A logic chiplets packaged on an Intel 3 base die with technologies such as EMIB and Foveros Direct (hybrid bonding).
Intel Corporation             Ponte Vecchio High Performance Computing GPUA high performance computing GPU product developed for HPC applications that has experienced delays relative to its original 2021 target.
Intel Corporation             Foveros Omni                  An advanced packaging product that utilizes copper pillars and ODI dies to enable smaller IO pitches and facilitate complex 3D logic stacking, particularly in Intel’s Foveros Omni implementations.
Intel Corporation             Raptor Lake                   An earlier generation Intel CPU product manufactured on an Intel 7 monolithic process.
Intel Corporation             Gaudi 3                       The successor to Gaudi 2, similarly affected by the U.S. export controls.
Intel Corporation             Alder Lake                    Intel’s current generation CPU product line, referenced for architectural comparisons.
Intel Corporation             Gaudi 2                       An AI accelerator chip that falls under the new restrictions based on its aggregate performance.
Intel Corporation             Lakefield Hybrid CPU SoC      Intel’s first generation 3D-stacked hybrid CPU system-on-chip that introduced Foveros technology with a 50-micron bump pitch.
Intel Corporation             Sapphire Rapids               Intel’s data center chip that required 12 design steppings, leading to higher costs and delayed time-to-market.
Intel Corporation             Sapphire Rapids EE            A variant of the Sapphire Rapids CPU designed with integrated 5G network instructions and FEC to deliver flexible acceleration for vRAN workloads.
Intel Corporation             Granite Rapids                A next-generation datacenter product, redefined to use Intel 3 node technology and planned as a 2024 offering.
Intel Corporation             18A SRAM Test Wafer           A demonstration product showing the 18A process capabilities, with an SRAM test wafer presented on stage.
Intel Corporation             OpenVINO                      An open-source toolkit for vision inference, neural network optimization, and efficient mapping of AI models across multiple Intel hardware platforms.
Intel Corporation             Xeon Products                 Server processors that are expected to ramp on the Intel 3 process node, with two Xeon product variants mentioned.
Intel Corporation             Alchemist Gaming GPU          A gaming GPU product, also known by its codename DG2, that has faced significant delays and remains pending a full release into the PC DIY market.
Intel Corporation             Mount Evans IPU (DPU)         A processing unit included in Intel’s product lineup, associated with networking capabilities.
Intel Corporation             Clearwater Forest             An expected datacenter CPU product as part of Intel’s future development plans.
Intel Corporation             Tofino 2                      An Intel networking product featured at Intel’s Vision conference.
Intel Corporation             FlexRAN                       A software stack designed to shift radio access network workloads onto commodity hardware while balancing programmability, performance, and power efficiency.
Intel Corporation             RISC-V accelerator program    A program aimed at accelerating development and adoption of RISC-V technology that has now been cut as part of broader cost-saving measures.
Intel Corporation             Mount Evans NIC               A NIC developed through a partnership effort involving Google and Intel aimed at enabling features similar to Amazon’s Elastic Block Storage.
Intel Corporation             Falcon Shores                 An ambitious product combining GPU and CPU elements on a single carrier, targeted at future high-performance computing applications.
Intel Corporation             Ponte Vecchio GPU             A high-performance GPU product by Intel that utilizes Foveros technology with advanced interconnects and a 36-micron bump pitch.
Intel Corporation             Meteor Lake (Arrow Lake)      Intel’s mass market client architecture product featuring advanced packaging with multiple bump pitches, transitioning from the initial Meteor Lake naming to Arrow Lake.
Intel Corporation             Meteor Lake Compute Tile      A key component of Intel’s Meteor Lake architecture, measured at around 40mm² using the Intel 4 process node.
Intel Corporation             Mount Bryce eASIC             A purpose-built hardware accelerator used for processing Layer 1 digital signal processing workloads in radio access networks.
Intel Corporation             Meteor Lake                   An Intel product featuring a compute tile of approximately 70mm², produced on the Intel 4 process node with low volume production and high cost structure.
Intel Corporation             Rogue River Forest            A planned datacenter CPU product that underscores Intel’s struggle to rebuild market leadership.
Intel Habana                  Intel Habana Gaudi2           A second-generation AI training chip that shows improved performance and is compared directly with Nvidia’s A100 on similar process nodes.
Intel Habana                  Intel Habana Gaudi1           The previous generation AI training chip demonstrating good scalability with higher chip counts.
KLIC                          wirebonder machines           Machines used predominantly in trailing edge semiconductor packaging, with emerging applications in miniLED panel and battery cell production, currently facing long lead times.
Kioxia                        Kioxia highest density CMOS bonded to array (CBA) NANDA NAND flash memory product that uses CMOS bonding to an array architecture to achieve high density.
Kokusai Electric Co., Ltd.    AdvancedAce                   A large batch chemical vapor deposition tool capable of processing up to 175 wafers at a time, used for deposition (excluding ALD) in semiconductor manufacturing.
Kokusai Electric Co., Ltd.    Tsurugi                       A mini-batch deposition tool that processes up to 50 wafers at a time, designed to optimize heating/cooling cycles and gas flows for improved throughput.
Kulicke & Soffa Industries    Wire Bonders                  Machines used to bond wires in semiconductor devices, a core product category for KLIC.
Kulicke & Soffa Industries    Testers                       Equipment used for testing semiconductor devices during production.
Kulicke and Soffa Industries  Wire bonders                  Traditional tools used for wire bonding in semiconductor packaging, a core business area that still holds approximately 80% of the overall market share.
Kulicke and Soffa Industries  KNEXT                         A cloud-based software platform that provides real-time advanced process control, custom visualization, analytics, product traceability, and enables predictive maintenance.
Kulicke and Soffa Industries  Pixalux                       A modified wire bonder tool designed for the mini-LED transfer process, capable of mechanically transferring mini-LEDs at a rate of 50 units per second.
Kulicke and Soffa Industries  Luminex                       A next‐generation LED display tool that employs a non‐mechanical process using a laser to transfer and accurately place mini-LEDs, while incorporating sorting and re-pitching functions.
Kulicke and Soffa Industries Inc.Laser-Based Bonding System    A laser system designed for high-speed bonding processes in battery cell and automotive applications, offering a faster process and lower cost of ownership compared to traditional methods.
LAM                           Dry Photoresist Equipment     Equipment that uses the new dry photoresist process aimed at improving feature fidelity and process stability for advanced semiconductor nodes.
Lab 91, Inc.                  2D Material Transfer Tool     A tool that automates the transfer of 2D materials from growth substrates to target silicon wafers, addressing a key bottleneck in high-volume semiconductor manufacturing.
Lam Research                  Selective Etch Platform       A tool platform used in the etching processes during semiconductor manufacturing, expected to double its revenue as part of technology transitions.
Lightmatter Inc.              Mars                          An earlier AI accelerator chip that utilized photonics for computing and data movement but ultimately did not succeed due to software and compute structure limitations.
Lightmatter Inc.              Passage                       An optical interposer platform connecting up to 48 customer chips using GlobalFoundries’ Fotonix 45CLO process, designed to deliver 768 Terabits per second between tiles with dynamically configurable, low-latency routing.
Lightmatter Inc.              Envise                        Lightmatter’s second-generation AI compute product, mentioned in passing as part of the company’s product evolution.
Linutronix                    PREEMPT_RT                    A real-time scheduling patch for Linux that minimizes latency by managing interruptions and locks, used in industrial and time-sensitive applications.
Lockheed Martin               F-22 Raptor                   A stealth tactical fighter aircraft noted for its integrated sensor systems used in targeting, tracking, and communications.
Lockheed Martin               F-35 Lightning                A modern stealth fighter aircraft employing advanced sensor arrays, including state-of-the-art infrared and electro-optical systems, to provide a 360-degree situational awareness.
Lumentum Holdings Inc.        200G EML Transceiver Products Transceiver products based on External Modulation Laser (EML) technology, with shipments expected to ramp in calendar 2024 for data center applications.
Lyncean                       2Kw EUV Light Source          A high-power extreme ultraviolet light source that uses a synchrotron-based approach, capable of generating 2 kW of EUV light and designed to be scalable by stacking multiple units.
Lynceus                       Manufacturing Quality Prediction SoftwareSoftware that uses AI models to predict the outcome of quality tests in real time, enabling fabs to rapidly detect defects, optimize inspection and metrology processes, reduce costs, and improve yield.
MACOM Technologies            Siryn                         A 5nm-based chip platform featuring a custom developed core that supports high core counts without sacrificing silicon area.
Marvell                       LiquidSecurity 2              An improved iteration of the LiquidSecurity HSM solution that leverages shared architecture with Marvell’s Octeon DPUs networking add-in cards and 5G network processors, enhancing performance and market competitiveness.
Marvell                       LiquidSecurity                A PCIe card based HSM solution that replaces traditional on‐premises 1U HSM modules, enabling a cloud-based HSM service model with lower capital and operating costs.
Marvell Technology Group      Octeon platform               A silicon solution used for Layer 1 processing in radio access networks.
MediaTek                      MediaTek network processor    A network processor product utilizing advanced packaging techniques for high-performance applications.
MediaTek                      MediaTek InFO-oS Networking SOCA networking system-on-chip that addresses reliability challenges in high-density fan-out packaging for high-performance applications.
MediaTek Inc.                 Dimensity 1000 series         A series of mobile SoCs that initiated MediaTek’s push into the premium/high-end segment, targeting smartphones in the $300-$600 range.
MediaTek Inc.                 MediaTek Dimensity 9200       A high-end chipset that powers advanced mobile devices and demonstrates the application of optimized process nodes.
MediaTek Inc.                 MediaTek 5G Flagship SoC      An upcoming flagship smartphone SoC based on TSMC’s 4nm process, featuring an advanced CPU layout, improved cache configuration, and support for 5G 3GPP Release 16, targeting the upper flagship pricing segment.
MediaTek Inc.                 MediaTek 1000 and 800 Series SOCsA range of system-on-chips with integrated 5G modems aimed at the midrange smartphone market ($300-$700) and focused exclusively on Sub 6GHz spectrum.
Meta                          Llama 3 70B                   A smaller variant of the Llama 3 series, deployed across consumer platforms to power Meta AI.
Meta                          OCP Rack                      An open compute project architecture rack that utilizes a busbar design for direct DC power delivery and may integrate a battery backup unit for increased efficiency.
Meta                          Largest Recommendation Models Recommendation models used to serve users, requiring large GPU clusters for deployment.
Meta                          Llama 3 405B                  An open-source language model intended to match GPT-4 performance.
Meta                          MTIA                          An AI-related product mentioned as part of Meta’s broader software stack evolution.
Meta                          LLaMA                         A foundation language model launched (but not fully open‐released) by Meta that was later leaked, sparking widespread innovation.
Meta                          MSVP                          A chip designed to support large-scale, cost-effective deployment for specialized workloads.
Meta                          LLAMA 3 405B                  A large language model from Meta mentioned alongside other frontier models.
Meta                          Meta 3D Stacked Memory        A memory packaging approach that stacks SRAM or DRAM directly atop compute units to reduce latency and energy consumption by approximately 40%.
Meta Platforms                Quest 2                       A virtual reality headset that has been heavily subsidized by Meta.
Meta Platforms                Quest Pro                     A higher-cost virtual reality headset with less subsidy compared to Quest 2.
Meta Platforms                Quest 3                       An upcoming virtual reality headset expected to have lower levels of subsidy.
Meta Platforms, Inc.          Meta Scalable Video Processor (MSVP)A video encoding ASIC used since 2021 to perform transcoding at 4K resolution with capabilities for high-quality settings and efficient power usage. It boosts performance by 9x for H.264 and 50x for VP9 and is deployed in a PCIe module with additional memory support.
Meta Platforms, Inc.          TorchInductor                 A native deep learning compiler that lowers FX graphs to highly optimized code across various hardware accelerators.
Meta Platforms, Inc.          TorchDynamo                   A component of the PyTorch stack that converts user scripts into optimized FX graphs for improved execution efficiency.
Meta Platforms, Inc.          MTIA                          Meta’s AI chip referenced as not being as advanced in performance and efficiency compared to Google’s TPU series.
Meta Platforms, Inc.          RecD                          A deep learning recommendation model used to personalize user experiences.
Meta Platforms, Inc.          Meta Training and Inference Accelerator (MTIA)An AI accelerator chip initially designed primarily for DLRM inference workloads. Fabricated on TSMC’s 7nm process and packaged by Amkor, it features a grid of processing elements, fixed accelerators, high-speed memory interfaces, and supports addressing both inference needs and roadmap ambitions for training in the future.
Meta Platforms, Inc.          LLAMA                         A software framework related to large language models and AI research.
Meta Platforms, Inc.          PyTorch 2.0                   A machine learning framework that introduces a compiled solution supporting graph execution, yielding large performance improvements for training and inference.
Meta Platforms, Inc.          Cicero                        An AI software product designed for complex tasks, likely involving natural language or strategy.
Meta Platforms, Inc.          LLAMA Series                  A series of dense language models made available to the open-source community, which have shaped how GPU-constrained groups approach model development.
Meta Platforms, Inc.          PrimTorch                     A tool that reduces the number of operators in PyTorch by mapping over 2,000 operators to around 250 primitives, simplifying backend development.
Meta Platforms, Inc.          Segment Anything              A computer vision product that segments images, likely for diverse AI applications.
Meta Platforms, Inc.          PyTorch                       A deep learning framework used for building and training neural networks.
Micron                        3D X-Point                    A non-volatile memory technology that was produced at the Lehi fab and is currently purchased by Intel from the facility.
Micron                        Micron non-volatile FeRAM     A non-volatile memory product based on ferroelectric random-access memory technology, offering competitive density and performance.
Micron Technology             DDR5 memory                   A next-generation memory product offering improved performance, capacity, and efficiency, expected to ramp up in both server and client PC markets.
Microsoft                     Microsoft 1st gen AI chip     The first-generation AI chip from Microsoft, mentioned as not being able to replace Nvidia’s offerings.
Microsoft                     Research Copilot              A tool designed to quickly answer questions about Microsoft products and usage, helping sales teams familiarize themselves with product features.
Microsoft                     Operations Copilot            A tool that enables salespeople to review transcriptions and summaries of previous customer meetings, facilitating smoother transitions of customer accounts.
Microsoft                     Phi-3 model                   A model from Microsoft’s Phi team, noted for training small models with significant amounts of synthetic data.
Microsoft                     Athena                        An upcoming AI processor aimed at addressing future data center and inference needs.
Microsoft                     Help Agent                    An AI chatbot under development intended to handle technical support queries, potentially reducing the need for traditional customer support roles.
Microsoft                     GitHub Copilot                An AI coding product enhanced with a new asynchronous coding agent feature capable of autonomously performing complex coding tasks like debugging.
Microsoft                     AI Agent Builder Tools        Tools that enable customers to build their own AI agents to handle various tasks.
Microsoft                     Bing                          A search engine that has been updated to incorporate a next-generation OpenAI large language model, aiming to challenge incumbent search businesses.
Microsoft                     Evol-Instruct                 An AI-based method developed by the WizardLM team to generate large, diverse sets of instructions for training large language models.
Microsoft                     MAI-1 ~500B parameter MOE modelAn in-house large language model leveraging a mixture-of-experts approach, developed with contributions from Inflection’s pretraining team.
Microsoft                     Site Reliability Engineer AgentAn AI agent designed to automatically monitor cloud systems and address outages without human supervision.
Microsoft Corporation         Azure Boost network adaptor   A 200G DPU solution based on an external FPGA and an internally designed ASIC, designed to offload various hypervisor, host, network, and storage tasks from Azure instances.
Microsoft Corporation         Cobalt                        An Arm-based server CPU product initiative from Microsoft.
Microsoft Corporation         Azure Cobalt 100 CPU          Microsoft’s second Arm-based CPU deployed in its cloud, featuring 128 Neoverse N2 cores on Armv9 architecture with 12 channels of DDR5, aimed at enhancing internal products like Azure SQL servers and Microsoft Teams.
Microsoft Corporation         Bing GPT                      A variant of large language model technology implemented within Bing to reduce token output and improve search relevance.
Microsoft Corporation         Singularity Cluster Manager   A system designed for transparent migration of GPU virtual machines and global scheduling of GPU workloads.
Microsoft Corporation         Xbox 360                      A gaming console that contributed to sparking interest in electronics and hardware repair.
Microsoft Corporation         Athena                        Microsoft’s AI chip, mentioned in discussions comparing economic advantages for inference workloads.
Microsoft Corporation         Azure Maia 100 (Athena/M100)  Microsoft’s long-awaited AI accelerator, designed to compete with products such as AMD MI300X, Nvidia H100/H200/B100, Google TPUv5, and Amazon Trainium/Inferentia2. The article discusses its volumes, performance, power consumption, rack design, and network topology.
Microsoft Corporation         Copilot                       An AI-powered tool built on GPT-4 technology, intended to assist users in coding and other task automation.
MinerVa                       Cryptocurrency Mining Chip    A 19.3mm2 chip used in cryptocurrency miners, with 120 chips per board and 3 boards per miner, resulting in a total power consumption of 3300W.
Mistral                       Mistral Mixtral 8x7b          An open-source AI model showcased in inference demos, notable for its performance and efficiency in processing token sequences.
Mistral                       Mistral Mixtral               A mixture-of-experts (MoE) language model designed for inference that aims to deliver higher quality outputs at lower pricing compared to incumbent models.
MoneyGram                     MoneyGram Developer Tool      A tool designed for developers of crypto exchanges, wallets, and stablecoin apps to integrate seamlessly with MoneyGram's global cash network for enabling cash deposits and withdrawals.
MosaicML Inc.                 GPT-70B                       A dense transformer model with 70 billion parameters.
MosaicML Inc.                 GPT-30B                       A dense transformer model with 30 billion parameters.
Mozilla                       Firefox browser               A web browser used for accessing the internet, whose revenue model involves sharing ad revenue from Google search queries.
NETINT Semiconductor          Quadra T4 VPU                 The second-generation VPU available in 1, 2, and 4-chip configurations, which outperforms competing solutions like Nvidia’s T4 and Intel’s server CPUs when using HEVC and AV1 codecs.
NETINT Semiconductor          Quadra ASIC                   The second-generation video encoding ASIC built on Samsung's 14nm process, featuring 4 lanes of PCIe 4.0, attached DRAM, dedicated hardware for video/audio encode/decode, AI inference, RISC CPUs, and a 2D video engine with standout capabilities in AV1 and H265/HEVC.
NETINT Semiconductor          Mt. Augusta                   The third-generation video encoding ASIC scheduled to begin shipping in 2024/2025.
NETINT Semiconductor          Logan ASIC                    The first-generation video encoding ASIC built on TSMC's 28nm process.
NETINT Semiconductor          T432 VPU                      The first VPU product that integrates 4 Logan ASIC chips to deliver high-density, energy-efficient video processing.
NVIDIA                        GB200 NVL72                   NVIDIA's rack-scale GPU product used as a benchmark for comparing AMD's offerings.
NVIDIA Corporation            A100                          A data-center GPU used for AI training that is referenced to illustrate China’s existing AI chip inventory.
NVIDIA Corporation            NVIDIA V100 GPU               A datacenter GPU that employs TSMC’s CoWoS-S technology to integrate high bandwidth memory with the compute die.
